baseline_id,structure,structural_deviation,source_term,source_partition
SB0045,uterine smooth-muscle contractile structure,departure from the reference structural configuration or regulated functional range,Abnormal labour,established_478
SB0046,melanocyte melanin-production and epidermal-pigment structure,departure from the reference structural configuration or regulated functional range,Abnormal pigmentation,established_478
SB0047,blood coagulation and platelet-hemostasis structure,departure from the reference structural configuration or regulated functional range,Abnormal platelets,established_478
SB0048,"ocular optical, retinal, vascular, and visual-neural structure",departure from the reference structural configuration or regulated functional range,Abnormal sensation in eye,established_478
SB0049,sleep-state thalamocortical network structure,departure from the reference structural configuration or regulated functional range,Abnormal sleep-related event,established_478
SB0050,retinal-optic-cortical visual-signal structure,departure from the reference structural configuration or regulated functional range,Abnormal vision,established_478
SB0051,hypothalamic-pituitary-ovarian and endometrial cycle structure,vascular or tissue integrity breach with blood extravasation/accumulation,Abnormal withdrawal bleeding,established_478
SB0052,hair-follicle growth-cycle structure,measured state within the declared reference range rather than a malformation,Abnormalities of the hair,established_478
SB0053,uteroplacental attachment and gestational-maintenance structure,termination or loss of the gestational state before completion of normal fetal development,Abortion,established_478
SB0054,uteroplacental attachment and gestational-maintenance structure,termination or loss of the gestational state before completion of normal fetal development,Abortion incomplete,established_478
SB0055,uteroplacental attachment and gestational-maintenance structure,termination or loss of the gestational state before completion of normal fetal development,Abortion infected,established_478
SB0056,uteroplacental attachment and gestational-maintenance structure,termination or loss of the gestational state before completion of normal fetal development,Abortion missed,established_478
SB0057,uteroplacental attachment and gestational-maintenance structure,termination or loss of the gestational state before completion of normal fetal development,Abortion spontaneous,established_478
SB0058,epidermal-dermal mechanical barrier integrity structure,superficial epithelial-surface tissue loss with reduced barrier continuity,Abrasion NOS,established_478
SB0059,localized soft-tissue innate-immune purulent structure,localized inflammatory cavity with tissue breakdown and accumulated cellular/fluid contents,Abscess,established_478
SB0060,localized soft-tissue innate-immune purulent structure,localized inflammatory cavity with tissue breakdown and accumulated cellular/fluid contents,Abscess limb,established_478
SB0061,localized soft-tissue innate-immune purulent structure,localized inflammatory cavity with tissue breakdown and accumulated cellular/fluid contents,Abscess periodontal,established_478
SB0062,bone-marrow neutrophil production and circulating-neutrophil structure,measured or functional quantity shifted below its reference structural range,Absolute neutrophil count decreased,established_478
SB0063,gallbladder-biliary motility and structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Acalculous cholecystitis,established_478
SB0064,epidermal insulin-growth-factor response structure,epidermal thickening with increased keratinocyte layer depth and altered surface architecture,Acanthosis nigricans,established_478
SB0065,cutaneous barrier and mite-triggered structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Acarodermatitis,established_478
SB0066,hair-follicle growth-cycle structure,reduced hair-follicle retention or shaft production relative to the normal cycling state,Accelerated hair loss,established_478
SB0067,non-structural external event,"altered configuration or regulated output of the named structure, expressed as the state described by accident",Accident,established_478
SB0068,non-structural external event,"altered configuration or regulated output of the named structure, expressed as the state described by accident at home",Accident at home,established_478
SB0069,non-structural exposure event,chemical burden exceeding or altering the reference exposure-clearance state,Accidental exposure to product,established_478
SB0070,non-structural exposure event,"altered configuration or regulated output of the named structure, expressed as the state described by accidental ingestion",Accidental ingestion,established_478
SB0071,tissue mechanical-integrity state following external injury,externally imposed mechanical/thermal/chemical tissue-integrity disruption,Accidental injury,established_478
SB0072,whole-body chemical-exposure load structure,chemical burden exceeding or altering the reference exposure-clearance state,Accidental overdose,established_478
SB0073,ciliary-muscle lens-accommodation structure,departure from the reference structural configuration or regulated functional range,Accommodation disorder,established_478
SB0074,hepatic ketone-production and systemic ketone-clearance structure,circulating ketone-body concentration above the reference metabolic state,Acetonaemia,established_478
SB0075,somatic sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Ache,established_478
SB0076,somatic sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Ache wrists,established_478
SB0077,hepatobiliary bile-production and intestinal bile-delivery structure,absent or markedly reduced bile delivery into the intestinal lumen,Acholia,established_478
SB0078,lysosomal/prostatic acid-phosphatase production-release structure,measured or functional quantity shifted above its reference structural range,Acid phosphatase high,established_478
SB0079,extracellular-fluid hydrogen-ion and bicarbonate balance structure,hydrogen-ion activity above the reference range with reduced extracellular-fluid pH,Acidemia,established_478
SB0080,extracellular-fluid hydrogen-ion and bicarbonate balance structure,hydrogen-ion activity above the reference range with reduced extracellular-fluid pH,Acidosis,established_478
SB0081,extracellular-fluid hydrogen-ion and bicarbonate balance structure,hydrogen-ion activity above the reference range with reduced extracellular-fluid pH,Acidosis hyperchloraemic,established_478
SB0082,pilosebaceous follicle sebum-keratin structure,pilosebaceous duct obstruction with altered sebum-keratin retention and local inflammatory activation,Acne,established_478
SB0083,pilosebaceous follicle sebum-keratin structure,pilosebaceous duct obstruction with altered sebum-keratin retention and local inflammatory activation,Acne cystic,established_478
SB0084,pilosebaceous follicle sebum-keratin structure,pilosebaceous duct obstruction with altered sebum-keratin retention and local inflammatory activation,Acne fulminans,established_478
SB0085,pilosebaceous follicle sebum-keratin structure,pilosebaceous duct obstruction with altered sebum-keratin retention and local inflammatory activation,Acne infantile,established_478
SB0086,pilosebaceous follicle sebum-keratin structure,pilosebaceous duct obstruction with altered sebum-keratin retention and local inflammatory activation,Acne pustular,established_478
SB0087,pilosebaceous follicle sebum-keratin structure,pilosebaceous duct obstruction with altered sebum-keratin retention and local inflammatory activation,Acne vulgaris,established_478
SB0088,pilosebaceous follicle sebum-keratin structure,abnormal surface-barrier morphology with local inflammatory/vascular fluid redistribution,Acneiform eruption,established_478
SB0089,coagulation-factor VIII activity and inhibitor structure,insufficient coagulation-factor activity causing delayed or unstable fibrin clot formation,Acquired haemophilia,established_478
SB0090,adaptive and innate immune-cell competence structure,departure from the reference structural configuration or regulated functional range,Acquired immunodeficiency syndrome,established_478
SB0091,epidermal keratinization and barrier structure,excess keratinized epithelial production causing thickened surface architecture,Acquired keratoderma,established_478
SB0092,adipocyte lipid-storage and insulin-response structure,loss of adipose tissue volume and storage architecture,Acquired lipoatrophic diabetes,established_478
SB0093,colonic smooth-muscle and enteric-neural motility structure,pathologic colonic dilation with impaired propulsive transit and wall mechanical state,Acquired megacolon,established_478
SB0094,retinal rod phototransduction structure,severe or complete loss of visual signal formation or transmission,Acquired night blindness,established_478
SB0095,acral cutaneous microvascular-inflammatory structure,increased superficial vascular perfusion producing localized tissue redness,Acral erythema,established_478
SB0096,cutaneous fibrovascular skin-fold growth structure,localized benign pedunculated overgrowth of cutaneous connective-epithelial tissue,Acrochordon,established_478
SB0097,peripheral sensory-autonomic neurovascular structure,"altered configuration or regulated output of the named structure, expressed as the state described by acrodynia",Acrodynia,established_478
SB0098,growth-hormone and IGF-1 endocrine signaling structure,excess growth signaling producing enlargement/remodeling of bone and soft tissue,Acromegaly,established_478
SB0099,sun-exposed epidermal keratinocyte proliferative structure,excess keratinized epithelial production causing thickened surface architecture,Actinic keratosis,established_478
SB0100,basal-ganglia motor-control and oscillatory movement structure,aberrant motor-control output producing involuntary or improperly scaled movement,Action tremor,established_478
SB0101,blood coagulation and platelet-hemostasis structure,event duration or measured interval extended beyond the reference timing range,Activated partial thromboplastin time prolonged,established_478
SB0102,central arousal and behavioral activation structure,departure from the reference structural configuration or regulated functional range,Activation syndrome,established_478
SB0103,"abdominal visceral inflammatory, perfusion, and sensory-transmission structure","altered configuration or regulated output of the named structure, expressed as the state described by abdomen",Acute abdomen,established_478
SB0104,mast-cell histamine and adaptive-immune response structure,"exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Acute allergic reaction,established_478
SB0105,alloreactive T-cell tissue-recognition structure,immune-effector attack against transplanted or non-self tissue causing target-structure injury,Acute allograft rejection,established_478
SB0106,systemic mast-cell histamine vascular-airway response structure,"exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Acute anaphylaxis,established_478
SB0107,anterior-eye aqueous-humor outflow and intraocular-pressure structure,optic-nerve/retinal ganglion structural stress associated with altered ocular pressure-flow balance,Acute angle-closure glaucoma,established_478
SB0108,appendiceal mucosal and innate-immune structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Acute appendicitis,established_478
SB0109,bronchial mucosal inflammatory and airway-clearance structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Acute bronchitis,established_478
SB0110,"cardiac myocardium, conduction, chamber, valve, and coronary-perfusion structure",departure from the reference structural configuration or regulated functional range,Acute cardiac toxicity,established_478
SB0111,thoracic nociceptive and cardiopulmonary stress structure,increased nociceptive signaling associated with local tissue or neural perturbation,Acute chest pain,established_478
SB0112,hepatocyte-bile-canalicular transport and metabolic integrity structure,"localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Acute cholestatic hepatitis,established_478
SB0113,cortical attention-arousal integration structure,"altered configuration or regulated output of the named structure, expressed as the state described by confusional state",Acute confusional state,established_478
SB0114,coronary perfusion and cardiomyocyte oxygenation structure,departure from the reference structural configuration or regulated functional range,Acute coronary syndrome,established_478
SB0115,urinary-bladder urothelial and detrusor structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Acute cystitis,established_478
SB0116,hepatocyte metabolic and structure,"localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Acute cytolytic hepatitis,established_478
SB0117,corticolimbic affect-arousal and behavioral-control network structure,persistent alteration of affective-valence and motivational network state,Acute depression,established_478
SB0118,intestinal epithelial fluid-transport and enteric-motility structure,excess or abnormal fluid/material outflow from the named structure,Acute diarrhea,established_478
SB0119,central nervous system myelin and neuroimmune structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Acute disseminated encephalomyelitis,established_478
SB0120,respiratory rhythm and alveolar gas-exchange structure,insufficient or unstable ventilation/gas exchange relative to metabolic demand,Acute dyspnea,established_478
SB0121,basal-ganglia motor-control and oscillatory movement structure,aberrant motor-control output producing involuntary or improperly scaled movement,Acute dystonia,established_478
SB0122,intestinal epithelial fluid-transport and enteric-motility structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Acute enterocolitis,established_478
SB0123,dermal neutrophilic structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Acute febrile neutrophilic dermatosis,established_478
SB0124,intestinal epithelial fluid-transport and enteric-motility structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Acute gastroenteritis,established_478
SB0125,epidermal neutrophilic pustular structure,acute diffuse epidermal neutrophilic pustule formation with inflammatory barrier disruption,Acute generalised exanthematous pustulosis,established_478
SB0126,anterior-eye aqueous-humor outflow and intraocular-pressure structure,optic-nerve/retinal ganglion structural stress associated with altered ocular pressure-flow balance,Acute glaucoma,established_478
SB0127,alloreactive T-cell tissue-recognition structure,immune-effector attack against transplanted or non-self tissue causing target-structure injury,Acute graft versus host disease,established_478
SB0128,circulating erythrocyte membrane-survival structure,reduced erythrocyte/hemoglobin oxygen-transport capacity relative to systemic demand,Acute haemolytic anaemia,established_478
SB0129,"hepatic parenchymal, biliary, and portal-perfusion structure",reduced or unstable functional output insufficient to maintain the reference structural state,Acute hepatic failure,established_478
SB0130,renal interstitial and tubular structure,"localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Acute interstitial nephritis,established_478
SB0131,pulmonary interstitial-alveolar structure,"localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Acute interstitial pneumonitis,established_478
SB0132,renal glomerular-tubular filtration and fluid-balance structure,externally imposed mechanical/thermal/chemical tissue-integrity disruption,Acute kidney injury,established_478
SB0133,hematopoietic precursor proliferation structure,abnormal concentration or presence of the named material/cell state in circulating blood,Acute leukaemia,established_478
SB0134,"hepatic parenchymal, biliary, and portal-perfusion structure","altered configuration or regulated output of the named structure, expressed as the state described by liver damage",Acute liver damage,established_478
SB0135,"hepatic parenchymal, biliary, and portal-perfusion structure",externally imposed mechanical/thermal/chemical tissue-integrity disruption,Acute liver injury,established_478
SB0136,lymphoid hematopoietic precursor proliferation structure,abnormal concentration or presence of the named material/cell state in circulating blood,Acute lymphocytic leukaemia,established_478
SB0137,trigeminovascular nociceptive and cranial vascular-tone structure,episodic trigeminovascular and central sensory-network activation with abnormal nociceptive processing,Acute migraine,established_478
SB0138,myeloid hematopoietic precursor proliferation structure,abnormal concentration or presence of the named material/cell state in circulating blood,Acute myeloid leukaemia,established_478
SB0139,coronary perfusion and cardiomyocyte oxygenation structure,sustained perfusion failure with loss of local tissue viability,Acute myocardial infarction,established_478
SB0140,coronary perfusion and cardiomyocyte oxygenation structure,abnormal concentration or presence of the named material/cell state in circulating blood,Acute myocardial ischemia,established_478
SB0141,renal tubular-glomerular filtration and cellular-integrity structure,"localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Acute nephritis,established_478
SB0142,whole-body chemical-exposure load structure,chemical burden exceeding or altering the reference exposure-clearance state,Acute overdose,established_478
SB0143,nociceptive sensory-transmission and central pain-processing structure,increased nociceptive signaling associated with local tissue or neural perturbation,Acute pain,established_478
SB0144,systemic hepatic-cytokine acute-phase protein response structure,acute or subacute state transition of the named structure in response to an external or internal perturbation,Acute phase reaction,established_478
SB0145,renal tubular-glomerular filtration and cellular-integrity structure,structural-functional tissue disorder with impaired normal operation of the named structure,Acute phosphate nephropathy,established_478
SB0146,renal perfusion and glomerular-filtration structure,reduced or unstable functional output insufficient to maintain the reference structural state,Acute prerenal failure,established_478
SB0147,myeloid hematopoietic precursor proliferation structure,abnormal concentration or presence of the named material/cell state in circulating blood,Acute promyelocytic leukaemia,established_478
SB0148,corticolimbic affect-arousal and behavioral-control network structure,"disorganized salience, perception, and reality-model integration within cortical-limbic networks",Acute psychosis,established_478
SB0149,"pulmonary airway-alveolar, pleural, and gas-exchange structure","excess fluid accumulation within interstitial, tissue, or cavity compartments",Acute pulmonary oedema,established_478
SB0150,renal glomerular-tubular filtration and fluid-balance structure,reduced or unstable functional output insufficient to maintain the reference structural state,Acute renal insufficiency,established_478
SB0151,respiratory rhythm and alveolar gas-exchange structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,Acute respiratory distress syndrome,established_478
SB0152,respiratory rhythm and alveolar gas-exchange structure,reduced or unstable functional output insufficient to maintain the reference structural state,Acute respiratory failure,established_478
SB0153,bladder detrusor-urethral emptying structure,failure of normal clearance or emptying causing material accumulation,Acute retention of urine,established_478
SB0154,corticolimbic affect-arousal and behavioral-control network structure,"disorganized salience, perception, and reality-model integration within cortical-limbic networks",Acute schizophrenia,established_478
SB0155,sinonasal mucosal inflammatory and drainage structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Acute sinusitis,established_478
SB0156,corticolimbic affect-arousal and behavioral-control network structure,departure from the reference structural configuration or regulated functional range,Acute stress disorder,established_478
SB0157,tonsillar lymphoid and mucosal structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Acute tonsillitis,established_478
SB0158,dermal mast-cell histamine and microvascular-permeability structure,abnormal surface-barrier morphology with local inflammatory/vascular fluid redistribution,Acute urticaria,established_478
SB0159,uveal tract immune-inflammatory structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Acute uveitis,established_478
SB0160,"hepatic parenchymal, biliary, and portal-perfusion structure","reduction of tissue mass, cell volume, or functional structural content",Acute yellow liver atrophy,established_478
SB0161,cardiac rhythm-to-cerebral-perfusion continuity structure,departure from the reference structural configuration or regulated functional range,Adams-Stokes syndrome,established_478
SB0162,adrenal-cortex steroid-hormone production structure,"adrenal steroid output below the level required for normal volume, electrolyte, and stress-response regulation",Addison's disease,established_478
SB0163,lymph-node inflammatory and immune-cell structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Adenitis,established_478
SB0164,glandular epithelial proliferative-control structure,clonal proliferative expansion with loss of normal differentiation and replacement of local tissue architecture,Adenocarcinoma,established_478
SB0165,"male gonadal, ductal, accessory-gland, and reproductive-output structure",clonal proliferative expansion with loss of normal differentiation and replacement of local tissue architecture,Adenocarcinoma of prostate,established_478
SB0166,pancreatic endocrine-exocrine parenchymal and ductal structure,clonal proliferative expansion with loss of normal differentiation and replacement of local tissue architecture,Adenocarcinoma pancreas,established_478
SB0167,glandular epithelial proliferative-control structure,localized tissue overgrowth or mass formation with altered normal architecture,Adenoma benign,established_478
SB0168,epithelial antiviral innate-immune structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Adenovirus infection,established_478
SB0169,serosal connective-tissue adhesion and fibrotic-repair structure,abnormal fibrous connection between normally mobile tissue surfaces with constrained relative motion,Adhesion,established_478
SB0170,corticolimbic affect-arousal and behavioral-control network structure,departure from the reference structural configuration or regulated functional range,Adjustment disorder,established_478
SB0171,local cutaneous innate-immune and barrier structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Administration site infection,established_478
SB0172,local cutaneous inflammatory and microvascular structure,acute or subacute state transition of the named structure in response to an external or internal perturbation,Administration site reaction,established_478
SB0173,"female reproductive, gestational, placental, and reproductive-output structure",increased nociceptive signaling associated with local tissue or neural perturbation,Adnexa uteri pain,established_478
SB0174,ovarian-fallopian adnexal structural and perfusion structure,axial twisting of a tissue or pedicle with mechanical deformation and risk of vascular-flow compromise,Adnexal torsion,established_478
SB0175,adrenal cortical-medullary hormone-production structure,"reduction of tissue mass, cell volume, or functional structural content",Adrenal atrophy,established_478
SB0176,adrenal cortical-medullary hormone-production structure,loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Adrenal carcinoma,established_478
SB0177,adrenal cortical-medullary hormone-production structure,"reduction of tissue mass, cell volume, or functional structural content",Adrenal cortex atrophy,established_478
SB0178,"central nervous tissue, cerebrospinal-fluid, and intracranial structural network","deficient magnitude, activity, quantity, or tissue state below the reference configuration",Adrenal cortical hypofunction,established_478
SB0179,adrenal cortical-medullary hormone-production structure,departure from the reference structural configuration or regulated functional range,Adrenal disorder,established_478
SB0180,adrenal cortical-medullary hormone-production structure,loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Adrenal gland cancer,established_478
SB0181,adrenal cortical-medullary hormone-production structure,"adrenal steroid output below the level required for normal volume, electrolyte, and stress-response regulation",Adrenal insufficiency,established_478
SB0182,sympathetic adrenergic receptor signaling structure,departure from the reference structural configuration or regulated functional range,Adrenergic syndrome,established_478
SB0183,adrenal-cortex steroid-hormone production structure,reduced or unstable functional output insufficient to maintain the reference structural state,Adrenocortical insufficiency acute,established_478
SB0184,"mammary gland ductal-lobular, secretory, and surface structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Advanced breast cancer,established_478
SB0185,tissue cellular proliferative-control structure,loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Advanced cancer,established_478
SB0186,whole-organism homeostatic response structure,acute or subacute state transition of the named structure in response to an external or internal perturbation,Adverse reaction,established_478
SB0187,upper gastrointestinal air-swallowing and luminal-gas structure,excess air entry into the upper gastrointestinal tract with abnormal luminal gas accumulation,Aerophagia,established_478
SB0188,corticolimbic affect-stability structure,instability with excessive state-to-state variation around the reference regulated condition,Affect lability,established_478
SB0189,corticolimbic affect-arousal and behavioral-control network structure,departure from the reference structural configuration or regulated functional range,Affective disorder,established_478
SB0190,gustatory receptor and central taste-signal structure,loss or marked reduction of gustatory sensory transduction,Ageusia,established_478
SB0191,pre-existing affected biological structure,departure from the reference structural configuration or regulated functional range,Aggravation of existing disorder,established_478
SB0192,corticolimbic affect-arousal and behavioral-control network structure,behavioral-control output shifted toward excessive threat-directed or forceful action,Aggression,established_478
SB0193,corticolimbic threat-response and impulse-control structure,behavioral-control output shifted toward excessive threat-directed or forceful action,Aggressive reaction,established_478
SB0194,corticolimbic affect-arousal and behavioral-control network structure,sustained high-arousal threat/salience network activation,Agitation,established_478
SB0195,corticolimbic affect-arousal and behavioral-control network structure,sustained high-arousal threat/salience network activation,Agitation postoperative,established_478
SB0196,association-cortex sensory-recognition network structure,failure to recognize or identify sensory information despite preserved primary sensation,Agnosia,established_478
SB0197,corticolimbic affect-arousal and behavioral-control network structure,context-triggered threat-network activation with disproportionate avoidance behavior,Agoraphobia,established_478
SB0198,bone-marrow neutrophil production and circulating-neutrophil structure,marked depletion of circulating granulocytes with reduced innate cellular defense capacity,Agranulocytosis,established_478
SB0199,upper-airway lumen and respiratory-flow structure,externally imposed intervention producing a non-baseline structural or functional configuration,Airway complication of anaesthesia,established_478
SB0200,interstitial-fluid and microvascular-permeability structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Airway edema,established_478
SB0201,upper-airway lumen and respiratory-flow structure,partial or complete luminal/pathway blockage with impaired transit or flow,Airway obstruction NOS,established_478
SB0202,basal-ganglia motor-control and oscillatory movement structure,persistent motor-restlessness output with inability to maintain a stable resting motor state,Akathisia,established_478
SB0203,somatosensory movement-perception structure,abnormal sensory perception or sensory-transmission state,Akinaesthesia,established_478
SB0204,basal-ganglia motor-control and oscillatory movement structure,marked reduction or absence of voluntary movement initiation,Akinesia,established_478
SB0205,hepatocyte membrane and cytosolic-enzyme integrity structure,departure from the reference structural configuration or regulated functional range,Alanine aminotransferase abnormal,established_478
SB0206,hepatocyte membrane and cytosolic-enzyme integrity structure,measured or functional quantity shifted below its reference structural range,Alanine aminotransferase decreased,established_478
SB0207,hepatocyte membrane and cytosolic-enzyme integrity structure,measured or functional quantity shifted above its reference structural range,Alanine aminotransferase increased,established_478
SB0208,hepatocyte membrane and cytosolic-enzyme integrity structure,measured state within the declared reference range rather than a malformation,Alanine aminotransferase normal,established_478
SB0209,melanocyte melanin-production and epidermal-pigment structure,reduced or absent melanin production/distribution in pigment-containing tissues,Albinism,established_478
SB0210,hepatic albumin synthesis and plasma-protein distribution structure,departure from the reference structural configuration or regulated functional range,Albumin globulin ratio abnormal,established_478
SB0211,hepatic albumin synthesis and plasma-protein distribution structure,measured or functional quantity shifted above its reference structural range,Albumin high,established_478
SB0212,hepatic albumin synthesis and plasma-protein distribution structure,measured or functional quantity shifted below its reference structural range,Albumin low,established_478
SB0213,renal glomerular filtration-barrier albumin-retention structure,measured or functional quantity shifted above its reference structural range,Albumin urine increased,established_478
