baseline_id,structure,structural_deviation,source_term,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,pair_active_hit,relation_balance,pair_rank_within_active_hits
SB0020,abdominal visceral innate-immune structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Abdominal infection,established_478,8dffcee6832de4ee865b24d6e42cb2fb8c1528623a8172a3f108bcb3f7b89146,1,0,0,0,0,0,0.21053962883300648,0.2153663023323723,0.00482667349936583,0.00482667349936583,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,c8e74d79169fdbb0a731ddf48029cd96c78f4465aef301f6cdb9cb8bcb9c6d7d,0.2695164647467165,0.21206276188623963,0.53125,False,0,
SB0021,abdominal tissue mechanical-integrity structure,externally imposed mechanical/thermal/chemical tissue-integrity disruption,Abdominal injury,established_478,da920c787cf453f7fc7dcd6ace6d7cdec86430fb26d58018292068a4236add74,10,4,1,0,3,1,0.1507024967643339,0.16254496458136036,0.01184246781702647,0.01184246781702647,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,c529573f64d8c553a11aa27c9ee55886c523d416e2ce789e719874d920bf6965,0.27136272531264194,0.20745454306419753,0.5625,True,1,1468
SB0022,abdominal tissue proliferative-control structure,loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Abdominal neoplasm,established_478,84cb5dc07653967285ae806efb3f71db52e44fc2134e9041a983455ebfa856d5,0,0,0,0,0,0,0.1548209509569317,0.17304897267029817,0.01822802171336646,0.01822802171336646,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,e479ed49a1df203de33c246185b829c01be97f3f23adbe01bfbf205aa0b6e7fb,0.2829200118003974,0.2215487948785334,0.5625,False,0,
SB0023,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain,established_478,a5fd3bb62297718e289a730fdc4d0523bb708af40096804e778aac7748be302d,6,1,0,0,1,0,0.2172902673367978,0.23751254787261078,0.020222280535812986,0.020222280535812986,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,77dcf0e66926332928bca73df6aee423836698f0f437ae81c2fe222bbd7ec5f6,0.30800622536039246,0.2384222260492591,0.625,False,0,
SB0024,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain aggravated,established_478,a5fd3bb62297718e289a730fdc4d0523bb708af40096804e778aac7748be302d,6,1,0,0,1,0,0.2172902673367978,0.23751254787261078,0.020222280535812986,0.020222280535812986,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,c1517cf94d166ad696005bbb7861a1f16cb782e3d4ae14fb96e9e6328ad3dd7b,0.30800622536039246,0.2384222260492591,0.625,False,0,
SB0025,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain generalised,established_478,a5fd3bb62297718e289a730fdc4d0523bb708af40096804e778aac7748be302d,6,1,0,0,1,0,0.2172902673367978,0.23751254787261078,0.020222280535812986,0.020222280535812986,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,6f22f888a50120dc209a2f6edafd185ac68b07c85e90552960c124b9dd820efc,0.30800622536039246,0.2384222260492591,0.625,False,0,
SB0026,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain localised,established_478,a5fd3bb62297718e289a730fdc4d0523bb708af40096804e778aac7748be302d,6,1,0,0,1,0,0.2172902673367978,0.23751254787261078,0.020222280535812986,0.020222280535812986,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,8a1a1c7215c2084ccffc47daaa52e76a6060a253a05b3fb34b9f85ef7550395c,0.30800622536039246,0.2384222260492591,0.625,False,0,
SB0027,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain lower,established_478,a5fd3bb62297718e289a730fdc4d0523bb708af40096804e778aac7748be302d,6,1,0,0,1,0,0.2172902673367978,0.23751254787261078,0.020222280535812986,0.020222280535812986,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,e7ef1d48eeefceecd13622cfa3b7b43312e97470bf51a9e7890054d721a5565d,0.30800622536039246,0.2384222260492591,0.625,False,0,
SB0028,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain upper,established_478,a5fd3bb62297718e289a730fdc4d0523bb708af40096804e778aac7748be302d,6,1,0,0,1,0,0.2172902673367978,0.23751254787261078,0.020222280535812986,0.020222280535812986,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,86e9eee39c165f041b61a5faeaeb1acfc76605af3be57186f12c16ffc9017976,0.30800622536039246,0.2384222260492591,0.625,False,0,
SB0029,abdominal-wall skeletal-muscle tone structure,"abnormally increased mechanical resistance, muscle tone, or tissue stiffness",Abdominal rigidity,established_478,cd522299dad9180342b06eb68512e61f3100b019c9a129c959ed9a7427bb0500,6,4,1,0,3,1,0.19352125914072726,0.21821704105629292,0.02469578191556565,0.02469578191556565,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,f7bdb461c88820193cab2d2260ffc8dffcab852b3f6ca419b7e7ae36220f4f99,0.3293780186863925,0.2627704496175518,0.6328125,True,1,71
SB0030,abdominal visceral innate-immune structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Abdominal sepsis,established_478,8dffcee6832de4ee865b24d6e42cb2fb8c1528623a8172a3f108bcb3f7b89146,1,0,0,0,0,0,0.21053962883300648,0.2153663023323723,0.00482667349936583,0.00482667349936583,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,9bece6a5cd5953c194cee8e6186bec8cfc46c760c5d064f46c6d4debb4340016,0.2695164647467165,0.21206276188623963,0.53125,False,0,
SB0031,intestinal smooth-muscle motility and luminal-volume structure,excess or sustained contractile activation causing abnormal narrowing or mechanical state,Abdominal spasm,established_478,0bf6d03c325a2e12f8a635f9e1a1f960f8b0b2b4c3d9b8fde370e2b31e632371,351,116,28,14,102,42,0.14524369894820766,0.1636666569322316,0.018422957984023935,0.018422957984023935,AWAY_FROM_REFERENCE,0.039886039886039885,MINOR,1,223,805938b023d2bec97272efa6250d068f16981a215c6565e2e5fd5560e710d4ce,0.30798374683324486,0.23667987418688397,0.6328125,True,14,607
SB0032,abdominal-wall fascial mechanical integrity structure,displacement of tissue across its normal supporting boundary,Abdominal strangulated hernia,established_478,b31812b2ceb87c4645843b53ec870a53c1650c6a8afce0a7c30cd61f4eb74fb2,0,0,0,0,0,0,0.18916401377747605,0.20413542738106338,0.014971413603587336,0.014971413603587336,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,03d27adf2f3a0246c3a4778101e34d46ba70d2650b54dd73eee3e7d190e8e982,0.2977425864468285,0.23105041030101037,0.6015625,False,0,
SB0033,abdominal visceral sensory-transmission structure,observable sensory or functional output indicating departure from the reference structural state,Abdominal symptom,established_478,5cffc36787f5f997886d4571f1a5d116e398077fbbd5bb2f98aa9c31239a0c88,6,2,0,0,2,0,0.20269215252328587,0.22396739674884913,0.02127524422556326,0.02127524422556326,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,36cd12c3e1acf1bd09d622c60542b6c257a3aa34319d65bcd3ed800c90ecdc89,0.31771689655062085,0.24511969091539132,0.6484375,False,0,
SB0034,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal tenderness,established_478,a5fd3bb62297718e289a730fdc4d0523bb708af40096804e778aac7748be302d,6,1,0,0,1,0,0.2172902673367978,0.23751254787261078,0.020222280535812986,0.020222280535812986,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,6f80b9a1c739fac00629c0413ac6e23179784b55880cd8f59e8c49d8d93c7239,0.30800622536039246,0.2384222260492591,0.625,False,0,
SB0035,abdominal-wall soft-tissue innate-immune structure,localized inflammatory cavity with tissue breakdown and accumulated cellular/fluid contents,Abdominal wall abscess,established_478,326ca0adec40ba55374c43257f4529f2c30aba058e646832da8137b783c9967c,780,326,64,61,323,125,0.1424437007244196,0.1535973908634477,0.011153690139028116,0.011153690139028116,AWAY_FROM_REFERENCE,0.0782051282051282,MINOR,1,222,95591e05e3cfe6428e017089968c09d5a89a13dcbd88d1c0c4a3ddf7f3226ff9,0.27729413524739,0.21297303078950003,0.5703125,True,3,1433
SB0036,corticolimbic affect-arousal and behavioral-control network structure,departure from the reference structural configuration or regulated functional range,Abnormal behaviour,established_478,4f355c1ace0919ee32c4469d4f083a0b07efbb42921bdb475e268a2c38915697,0,0,0,0,0,0,0.1179090733115945,0.13244500768297363,0.014535934371379122,0.014535934371379122,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,c57bb346c7be968d3c7b04fd95dbfe30e3e70aa5cacc0e845e237a3d1e1eb22e,0.2882405243507734,0.2211774687204554,0.59375,False,0,
SB0037,intestinal smooth-muscle and enteric-neural motility structure,departure from the reference structural configuration or regulated functional range,Abnormal bowel sounds,established_478,44e6dfede0327153d7ad6983a5cc1c2140cf6f6b4ab2c7db8638775e222ca1f4,6,6,0,0,6,0,0.16081302070617864,0.17407203792810433,0.013259017221925684,0.013259017221925684,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,657d66a417b4d5a38f6e8c15915c821e63cd90db4fa4d1b58594c572c45f1b42,0.31533344784881917,0.24392798518148684,0.640625,False,0,
SB0038,airway airflow and lung parenchymal acoustic structure,departure from the reference structural configuration or regulated functional range,Abnormal chest sounds NOS,established_478,00f66913536622ffe43437047455475ef002775de2bbab01bc7ddb3aab6b23e3,0,0,0,0,0,0,0.19306779323529655,0.1992037595175289,0.006135966282232341,0.006135966282232341,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,ee86a5c1e690f75855a91d3adc70e88d082fff10a041b6b2fbed3d091fb14bca,0.29752463192415063,0.239359307224574,0.5625,False,0,
SB0039,blood coagulation and platelet-hemostasis structure,departure from the reference structural configuration or regulated functional range,Abnormal clotting factor,established_478,cf2c28049e578ca289d45344ccb74e5d2bba8ddc75fe363cd0ceeb791ae17d72,0,0,0,0,0,0,0.1755839050564716,0.17901165468690328,0.003427749630431687,0.003427749630431687,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,b0085b5bdb3a23c41d8e19e3ca02c676df066c2eb774ce2015aac9d7b8bde286,0.2986780863680818,0.23390620288790465,0.59375,False,0,
SB0040,sleep-state thalamocortical network structure,departure from the reference structural configuration or regulated functional range,Abnormal dreams,established_478,e4055b2a326a5505cf1df4b1045f8737016c6c6619f7fd428c6e0cb24ce0cc36,0,0,0,0,0,0,0.1944466581991724,0.19803957476736422,0.0035929165681918285,0.0035929165681918285,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,d28777c2dddb64a94fb2dc02d055dd9c8bb46193dfe784f05c554443139d8aca,0.28554803144306695,0.21617900175983773,0.6015625,False,0,
SB0041,male reproductive autonomic ejaculatory structure,departure from the reference structural configuration or regulated functional range,Abnormal ejaculation,established_478,c9142dda484140c4e527dae1ad7832cf364ca930790684ff3a3d004225ad3e86,1378,575,61,56,570,117,0.17758467016919344,0.1823325184468203,0.004747848277626865,0.004747848277626865,AWAY_FROM_REFERENCE,0.040638606676342524,MINOR,1,223,e509c7351c33c36cf3a4c4016da50c8b32e8198e3f8344139ab4605d1378dedc,0.3010974498122816,0.2351417070881483,0.6015625,True,5,856
SB0042,"ocular optical, retinal, vascular, and visual-neural structure",departure from the reference structural configuration or regulated functional range,Abnormal eye movements NOS,established_478,36e6f9bb4720265f1290a777b5af36c71960457ec4ce6b883295fdf2608979b8,0,0,0,0,0,0,0.14972863282281335,0.1727384234541306,0.02300979063131725,0.02300979063131725,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,8e0593e92cb3713e6a031c36342e8e51e7f8467313892321a83d99b07c9b741b,0.3180756352135553,0.24384223806531136,0.65625,False,0,
SB0043,"intestinal digestion, transit, and stool-composition structure",departure from the reference structural configuration or regulated functional range,Abnormal faeces,established_478,6304bc972912834b8d380ead50f65592ee88b6c23abfe33f3a0df367a9a2b492,0,0,0,0,0,0,0.12050966021497167,0.1435814044520064,0.02307174423703473,0.02307174423703473,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,e2ec9ba581ddf29532c91f9725aa10c3a96bf70feeef8ea1a2326b8d2940fefa,0.3168663784601268,0.2492272908050327,0.625,False,0,
SB0044,basal-ganglia motor-control and oscillatory movement structure,departure from the reference structural configuration or regulated functional range,Abnormal involuntary movements,established_478,9e5c111b3ba0174c65d7422ab63b66abf46b1ce6fe07d464c2cf6175e1557a94,0,0,0,0,0,0,0.1535458775266183,0.166098394807761,0.012552517281142705,0.012552517281142705,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,33f66ce895e054531a2fd470e695f2fd3a234a7202b4c8e945bb966c03bd80a2,0.2976861289109557,0.23269649867189723,0.59375,False,0,
SB0045,uterine smooth-muscle contractile structure,departure from the reference structural configuration or regulated functional range,Abnormal labour,established_478,6dcfa24f02e41bd0efbaf11e14a3c0335b5eb01886eb28d6ca3897fc4a66e5bf,406,120,21,29,128,50,0.17533246880578401,0.2040992497986902,0.028766780992906194,0.028766780992906194,AWAY_FROM_REFERENCE,0.07142857142857142,MINOR,1,223,21bde9a425b3aa720bad2a3b9c5fcff3b451d62a1d8240930b2116f8547b2762,0.31783817755650257,0.2452675945811007,0.6484375,True,-8,237
SB0046,melanocyte melanin-production and epidermal-pigment structure,departure from the reference structural configuration or regulated functional range,Abnormal pigmentation,established_478,b42e43cb837eacd6f3b4e7544e3d479efcbc682fd75d70d3d694913e1923b8d4,351,92,7,35,120,42,0.14086835390120256,0.169076324041051,0.028207970139848437,0.028207970139848437,AWAY_FROM_REFERENCE,0.09971509971509972,MINOR,1,230,8a1eb1e8e7b0b11ee41d74a27e504d1cc8d1d68fcf83414ae0414d10304e421f,0.30030912708700763,0.22732058181342396,0.6328125,True,-28,895
SB0047,blood coagulation and platelet-hemostasis structure,departure from the reference structural configuration or regulated functional range,Abnormal platelets,established_478,cf2c28049e578ca289d45344ccb74e5d2bba8ddc75fe363cd0ceeb791ae17d72,0,0,0,0,0,0,0.1755839050564716,0.17901165468690328,0.003427749630431687,0.003427749630431687,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,a17d4efa1dadf7b72ca3762f9b3e607ea6d334017caeec2da373515abb61e57b,0.2986780863680818,0.23390620288790465,0.59375,False,0,
SB0048,"ocular optical, retinal, vascular, and visual-neural structure",departure from the reference structural configuration or regulated functional range,Abnormal sensation in eye,established_478,36e6f9bb4720265f1290a777b5af36c71960457ec4ce6b883295fdf2608979b8,0,0,0,0,0,0,0.14972863282281335,0.1727384234541306,0.02300979063131725,0.02300979063131725,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,291161a54ebafe84c87ba94626ef1dae1a6c99ad4411fb7685833d429b3d1f2f,0.3180756352135553,0.24384223806531136,0.65625,False,0,
SB0049,sleep-state thalamocortical network structure,departure from the reference structural configuration or regulated functional range,Abnormal sleep-related event,established_478,e4055b2a326a5505cf1df4b1045f8737016c6c6619f7fd428c6e0cb24ce0cc36,0,0,0,0,0,0,0.1944466581991724,0.19803957476736422,0.0035929165681918285,0.0035929165681918285,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,a9c5995db760bc699e56a913d86821279f45fde7c941a53510e5f3a62a7e1363,0.28554803144306695,0.21617900175983773,0.6015625,False,0,
SB0050,retinal-optic-cortical visual-signal structure,departure from the reference structural configuration or regulated functional range,Abnormal vision,established_478,ac8a6094cbe4c3149b318e5feb180f71d5f33803684be7fefc82dbd585fb07f5,120,51,9,2,44,11,0.14835375141542473,0.16083935867067134,0.012485607255246611,0.012485607255246611,AWAY_FROM_REFERENCE,0.016666666666666666,MINOR,1,223,3b02f432898df04e1e964ebeedef2f8818b48650ad262379ce95560cd29bdb93,0.3084667453628639,0.24069877483276092,0.6171875,True,7,591
SB0051,hypothalamic-pituitary-ovarian and endometrial cycle structure,vascular or tissue integrity breach with blood extravasation/accumulation,Abnormal withdrawal bleeding,established_478,d16027ff256b05861d8fffe2a0ab01533b5bb30e634b8f9d77065d201a949138,0,0,0,0,0,0,0.14969531562913518,0.14535136727880482,-0.004343948350330362,0.004343948350330362,TOWARD_REFERENCE,0.0,INFORMATIONAL,0,230,62d0ffde841574704eb67021066a4154d924558bd7d16bdf2475bec065ff3044,0.2834236339659359,0.21873309020236087,0.578125,False,0,
SB0052,hair-follicle growth-cycle structure,measured state within the declared reference range rather than a malformation,Abnormalities of the hair,established_478,b040bf164ae5237f9444c0c6676c783944b018cd41ee505b0535ba2609549336,10,6,0,0,6,0,0.18761359450354487,0.2003365278200575,0.012722933316512641,0.012722933316512641,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,50e39c672f4a84e7f592bb376d2b761e659ce8bb9800b79d20a966c900f08c86,0.30501037282279,0.23991356441803657,0.6015625,False,0,
